major_only_diversity_ci_high,major_only_diversity_ci_low,major_only_diversity_mean,major_only_homogeneity_ci_high,major_only_homogeneity_ci_low,major_only_homogeneity_mean,question_count,run_dir,run_name,strict_leaf_diversity_ci_high,strict_leaf_diversity_ci_low,strict_leaf_diversity_mean,strict_leaf_homogeneity_ci_high,strict_leaf_homogeneity_ci_low,strict_leaf_homogeneity_mean,strict_minus_weighted_diversity_ci_high,strict_minus_weighted_diversity_ci_low,strict_minus_weighted_diversity_mean,weighted_minus_major_diversity_ci_high,weighted_minus_major_diversity_ci_low,weighted_minus_major_diversity_mean,weighted_tree_diversity_ci_high,weighted_tree_diversity_ci_low,weighted_tree_diversity_mean,weighted_tree_homogeneity_ci_high,weighted_tree_homogeneity_ci_low,weighted_tree_homogeneity_mean
0.7830924992819426,0.6528622090194685,0.7180940749526661,0.579,0.48200000000000004,0.531,100,prove_experiments\cleaned_runs\P4_mixed_strategy_deepseek_chat_seed42,P4_mixed_strategy_deepseek_chat_seed42,0.8316347540293666,0.7202318842400315,0.7782263000032493,0.485,0.38,0.434,0.23494640618934745,0.15242353295513428,0.19634756157591476,-0.08707934320756641,-0.18554568520773607,-0.13621533652533155,0.6182365184038173,0.5460986452546713,0.5818787384273346,0.5546284645172777,0.4633296859396257,0.5092478477315014
0.3566254334391685,0.19953729544518517,0.27674753143153497,0.872,0.764,0.8190000000000001,100,prove_experiments\cleaned_runs\P4_mixed_strategy_gemini_flash_lite_seed42,P4_mixed_strategy_gemini_flash_lite_seed42,0.4797087846549543,0.3137964981473314,0.39616548000157503,0.7929999999999999,0.6729999999999999,0.733,0.03366990685105864,-0.10039752928421823,-0.030651071248882233,0.20690772448408945,0.0918674353196304,0.15006901981892226,0.46719890682587356,0.3881854496362167,0.4268165512504572,0.8544359889015687,0.7706419332306876,0.8140759539137928
0.48021133460783,0.3189020660986013,0.3987218165634168,0.7929999999999999,0.679,0.737,100,prove_experiments\cleaned_runs\P4_mixed_strategy_gpt4omini_seed42,P4_mixed_strategy_gpt4omini_seed42,0.6872460723485463,0.5411191082819239,0.6156258008320085,0.64,0.529,0.585,0.19119532510611983,0.07337661403244629,0.13510749979404274,0.14033673846852357,0.023385321103526903,0.08179648447454885,0.516292445509982,0.4445513017247638,0.4805183010379656,0.747621247955814,0.649787133429286,0.6994929362065918
0.5563650224591385,0.399774244004955,0.479581913752917,0.743,0.634,0.6890000000000001,100,prove_experiments\cleaned_runs\P4_mixed_strategy_qwen25_7b_seed42,P4_mixed_strategy_qwen25_7b_seed42,0.8391262041122967,0.7192629590410223,0.7815050777448218,0.47100000000000003,0.368,0.418,0.30124828294569683,0.20472587723824198,0.2536769952718963,0.10276414506039597,-0.007137263674531573,0.04824616872000848,0.5626584855305474,0.4918617500860685,0.5278280824729255,0.6515851690654729,0.5620467661341754,0.6076067868374634
0.6980144941795234,0.5582558597509766,0.6306970494272346,0.644,0.5429999999999999,0.593,100,prove_experiments\cleaned_runs\P4_same_definition_deepseek_chat_seed42,P4_same_definition_deepseek_chat_seed42,0.797428784717951,0.6739964923881259,0.7374099200404372,0.513,0.408,0.461,0.29600265303408557,0.216636201439464,0.2567017364135683,-0.09037754947524583,-0.20208739517905377,-0.14998886580036574,0.5258270357097304,0.4358376311838106,0.48070818362686885,0.5844762793614682,0.49033716782228454,0.5370491881829212
0.43104821577090496,0.2760796192516564,0.3531456699657997,0.835,0.736,0.7859999999999999,100,prove_experiments\cleaned_runs\P4_same_definition_gemini_flash_lite_seed42,P4_same_definition_gemini_flash_lite_seed42,0.5654751406998503,0.4043664579817783,0.4873728639545252,0.7440000000000001,0.633,0.688,0.08728395013125724,-0.03540680281271504,0.027568986906385953,0.1687785212421995,0.042674983543956095,0.10665820708233957,0.4980679581483522,0.42151396298092114,0.4598038770481393,0.8065574475853079,0.7230146128434659,0.7652974949260697
0.3568768274773141,0.20660031040499874,0.27952240621875785,0.8740000000000001,0.78,0.8290000000000001,100,prove_experiments\cleaned_runs\P4_same_definition_gpt4omini_seed42,P4_same_definition_gpt4omini_seed42,0.6285367001515639,0.4679714045590165,0.5489507912313093,0.7040000000000001,0.593,0.649,0.14625379752925774,0.005392711523882095,0.07676223170041034,0.24785839357419714,0.13565440238015036,0.19266615331214113,0.5008395522937282,0.4448480719907754,0.47218855953089894,0.8273168241547109,0.7479164135268965,0.7896072479403202
0.44104609225986463,0.28037098202657335,0.3606163449528189,0.8290000000000001,0.7290000000000001,0.78,100,prove_experiments\cleaned_runs\P4_same_definition_qwen25_7b_seed42,P4_same_definition_qwen25_7b_seed42,0.8077689882126933,0.6960696260383703,0.7554661395447383,0.535,0.444,0.49,0.3055623388167263,0.21364103008350496,0.2620888885916555,0.1933321705950101,0.07114007623762693,0.1327609060002638,0.5316601215066905,0.4560620882023899,0.4933772509530827,0.7334264580717431,0.6595273978373014,0.6981104107106023
0.5445160980351228,0.3819774572910364,0.4630787393209267,0.763,0.6559999999999999,0.71,100,prove_experiments\cleaned_runs\P4_same_elimination_deepseek_chat_seed42,P4_same_elimination_deepseek_chat_seed42,0.6073608270450835,0.4454132795664146,0.5281858439946006,0.706,0.589,0.648,0.11066956527857004,-0.010340483762326451,0.049597312996522064,0.07661587215195535,-0.04835703891792619,0.015509791677151859,0.5189731913585627,0.437344565343815,0.4785885309980785,0.7417187552885808,0.6393212302433766,0.6914997948881539
0.32477732645919744,0.17759842534998055,0.24759672368328586,0.888,0.7879999999999999,0.841,100,prove_experiments\cleaned_runs\P4_same_elimination_gemini_flash_lite_seed42,P4_same_elimination_gemini_flash_lite_seed42,0.44161277985122593,0.27587752056004733,0.35593870785719517,0.818,0.6990000000000001,0.76,0.01270787428564879,-0.10673283627530326,-0.04749061472834046,0.2092433690922309,0.09983469104369373,0.15583259890224974,0.44853590729284504,0.36112946879386176,0.4034293225855356,0.868778585203351,0.7799213726552092,0.825557240613181
0.42857741478791467,0.27557683117536524,0.3510334717868941,0.83,0.732,0.7829999999999999,100,prove_experiments\cleaned_runs\P4_same_elimination_gpt4omini_seed42,P4_same_elimination_gpt4omini_seed42,0.5160831126225645,0.3568343791943156,0.4346740360355784,0.775,0.664,0.721,0.07179869407207846,-0.044932434196784846,0.013691001225713272,0.12458399850625851,0.01503799098735886,0.06994956302297108,0.45997851039208315,0.38215673107356424,0.42098303480986515,0.8067769534782901,0.7149575134458488,0.7617851963519202
0.3929879188133406,0.23601433288112555,0.31306095958258606,0.856,0.7509999999999999,0.805,100,prove_experiments\cleaned_runs\P4_same_elimination_qwen25_7b_seed42,P4_same_elimination_qwen25_7b_seed42,0.7033124162047831,0.5587289871633623,0.6307886754285844,0.609,0.49700000000000005,0.5529999999999999,0.23049650300465394,0.11836682468198893,0.17432988891060028,0.19728360790583188,0.08735089995263186,0.14339782693539804,0.49089279948525577,0.42255955408985313,0.4564587865179841,0.7700352788212997,0.6824381372173471,0.7277151172989257
