baseline,contrast,delta_mean_family_diversity,delta_mean_homogeneity,delta_mean_major_distribution_distance,delta_mean_major_diversity,delta_mean_prompt_embedding_diversity,delta_mean_trace_embedding_diversity,delta_mean_trace_token_diversity,delta_mean_vote_acc,left_model,left_prompt_family,n,prompt_mode,right_model,right_prompt_family,unit
same_model_same_prompt,different_model_different_prompt_family,,,0.1026473578130574,,,,,,deepseek-chat,mixed_strategy,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.11984735781305739,,,,,,deepseek-chat,mixed_strategy,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.18544735781305738,,,,,,deepseek-chat,same_definition,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.13624735781305736,,,,,,deepseek-chat,mixed_strategy,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.13364735781305737,,,,,,deepseek-chat,mixed_strategy,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.20464735781305737,,,,,,deepseek-chat,same_definition,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.13764735781305737,,,,,,deepseek-chat,mixed_strategy,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.15264735781305738,,,,,,deepseek-chat,mixed_strategy,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.2336473578130574,,,,,,deepseek-chat,same_definition,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.1182473578130574,,,,,,deepseek-chat,mixed_strategy,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.09824735781305738,,,,,,deepseek-chat,mixed_strategy,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.1626473578130574,,,,,,deepseek-chat,same_definition,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.18004735781305736,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.08964735781305738,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.08904735781305739,,,,,,gemini-2.5-flash-lite,same_definition,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05735264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.04695264218694262,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.033352642186942616,,,,,,gemini-2.5-flash-lite,same_definition,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.06755264218694262,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05155264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.03595264218694261,,,,,,gemini-2.5-flash-lite,same_definition,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05355264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.09895264218694261,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.0705526421869426,,,,,,gemini-2.5-flash-lite,same_definition,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.1832473578130574,,,,,,gpt-4o-mini,mixed_strategy,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.08964735781305738,,,,,,gpt-4o-mini,mixed_strategy,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.11384735781305738,,,,,,gpt-4o-mini,same_definition,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.024952642186942597,,,,,,gpt-4o-mini,mixed_strategy,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.04475264218694261,,,,,,gpt-4o-mini,mixed_strategy,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.06555264218694262,,,,,,gpt-4o-mini,same_definition,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.07295264218694261,,,,,,gpt-4o-mini,mixed_strategy,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.07395264218694261,,,,,,gpt-4o-mini,mixed_strategy,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.0763526421869426,,,,,,gpt-4o-mini,same_definition,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.006352642186942592,,,,,,gpt-4o-mini,mixed_strategy,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05455264218694261,,,,,,gpt-4o-mini,mixed_strategy,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.07595264218694261,,,,,,gpt-4o-mini,same_definition,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.18344735781305738,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.10124735781305738,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.11604735781305736,,,,,,qwen2.5-7b-instruct,same_definition,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.029752642186942596,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05675264218694259,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.0715526421869426,,,,,,qwen2.5-7b-instruct,same_definition,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.0599526421869426,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.09635264218694262,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.08855264218694262,,,,,,qwen2.5-7b-instruct,same_definition,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.0011526421869426096,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.05535264218694261,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.06315264218694261,,,,,,qwen2.5-7b-instruct,same_definition,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.15624735781305737,,,,,,qwen3.5-plus,mixed_strategy,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.15484735781305742,,,,,,qwen3.5-plus,mixed_strategy,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.12184735781305739,,,,,,qwen3.5-plus,same_definition,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.005047357813057374,,,,,,qwen3.5-plus,mixed_strategy,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.008047357813057376,,,,,,qwen3.5-plus,mixed_strategy,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,-0.02055264218694261,,,,,,qwen3.5-plus,same_definition,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.006247357813057408,,,,,,qwen3.5-plus,mixed_strategy,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.055847357813057386,,,,,,qwen3.5-plus,mixed_strategy,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.0234473578130574,,,,,,qwen3.5-plus,same_definition,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.02524735781305737,,,,,,qwen3.5-plus,mixed_strategy,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.07344735781305739,,,,,,qwen3.5-plus,mixed_strategy,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_different_prompt_family,,,0.020647357813057376,,,,,,qwen3.5-plus,same_definition,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt,,,-0.0765526421869426,,,,,,gpt-4o-mini,same_prompt,100,exact,qwen3.5-plus,same_prompt,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.09664735781305739,,,,,,deepseek-chat,mixed_strategy,100,family,gemini-2.5-flash-lite,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.16844735781305736,,,,,,deepseek-chat,same_definition,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.09464735781305739,,,,,,deepseek-chat,same_elimination,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.10404735781305735,,,,,,deepseek-chat,mixed_strategy,100,family,gpt-4o-mini,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.20684735781305735,,,,,,deepseek-chat,same_definition,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.09664735781305739,,,,,,deepseek-chat,same_elimination,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.10084735781305737,,,,,,deepseek-chat,mixed_strategy,100,family,qwen2.5-7b-instruct,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.1942473578130574,,,,,,deepseek-chat,same_definition,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.11244735781305737,,,,,,deepseek-chat,same_elimination,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.1086473578130574,,,,,,deepseek-chat,mixed_strategy,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.1706473578130574,,,,,,deepseek-chat,same_definition,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.07864735781305737,,,,,,deepseek-chat,same_elimination,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.04695264218694262,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gpt-4o-mini,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.03535264218694262,,,,,,gemini-2.5-flash-lite,same_definition,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.04275264218694261,,,,,,gemini-2.5-flash-lite,same_elimination,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.047152642186942595,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen2.5-7b-instruct,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.04855264218694261,,,,,,gemini-2.5-flash-lite,same_definition,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.0687526421869426,,,,,,gemini-2.5-flash-lite,same_elimination,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.005952642186942636,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.013952642186942615,,,,,,gemini-2.5-flash-lite,same_definition,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.07595264218694261,,,,,,gemini-2.5-flash-lite,same_elimination,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.07215264218694262,,,,,,gpt-4o-mini,mixed_strategy,100,family,qwen2.5-7b-instruct,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.09235264218694261,,,,,,gpt-4o-mini,same_definition,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.11215264218694262,,,,,,gpt-4o-mini,same_elimination,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.02584735781305736,,,,,,gpt-4o-mini,mixed_strategy,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.05155264218694261,,,,,,gpt-4o-mini,same_definition,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.0675526421869426,,,,,,gpt-4o-mini,same_elimination,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,0.03464735781305739,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,qwen3.5-plus,mixed_strategy,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.02575264218694262,,,,,,qwen2.5-7b-instruct,same_definition,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,different_model_same_prompt_family,,,-0.05195264218694262,,,,,,qwen2.5-7b-instruct,same_elimination,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,0.11104735781305736,,,,,,deepseek-chat,mixed_strategy,100,family,deepseek-chat,same_definition,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.0095526421869426,,,,,,deepseek-chat,mixed_strategy,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,0.1862473578130574,,,,,,deepseek-chat,same_definition,100,family,deepseek-chat,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.1393526421869426,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gemini-2.5-flash-lite,same_definition,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.14915264218694263,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.1277526421869426,,,,,,gemini-2.5-flash-lite,same_definition,100,family,gemini-2.5-flash-lite,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.1091526421869426,,,,,,gpt-4o-mini,mixed_strategy,100,family,gpt-4o-mini,same_definition,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.07775264218694261,,,,,,gpt-4o-mini,mixed_strategy,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.10395264218694261,,,,,,gpt-4o-mini,same_definition,100,family,gpt-4o-mini,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.1083526421869426,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,qwen2.5-7b-instruct,same_definition,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.1231526421869426,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.1199526421869426,,,,,,qwen2.5-7b-instruct,same_definition,100,family,qwen2.5-7b-instruct,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.07215264218694262,,,,,,qwen3.5-plus,mixed_strategy,100,family,qwen3.5-plus,same_definition,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.05735264218694261,,,,,,qwen3.5-plus,mixed_strategy,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,same_model_different_prompt_family,,,-0.1113526421869426,,,,,,qwen3.5-plus,same_definition,100,family,qwen3.5-plus,same_elimination,between_team_same_question
same_model_same_prompt,same_model_same_prompt,,,-0.06760955288993875,,,,,,gpt-4o-mini,same_prompt,100,exact,gpt-4o-mini,same_prompt,within_team
same_model_same_prompt,same_model_same_prompt,,,0.06760955288993875,,,,,,qwen3.5-plus,same_prompt,100,exact,qwen3.5-plus,same_prompt,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.44513243126433283,,,,,,deepseek-chat,mixed_strategy,100,family,deepseek-chat,mixed_strategy,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.37949814469302695,,,,,,deepseek-chat,same_definition,100,family,deepseek-chat,same_definition,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.23077213183291934,,,,,,deepseek-chat,same_elimination,100,family,deepseek-chat,same_elimination,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.06949158734372207,,,,,,gemini-2.5-flash-lite,mixed_strategy,100,family,gemini-2.5-flash-lite,mixed_strategy,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.1455983522261201,,,,,,gemini-2.5-flash-lite,same_definition,100,family,gemini-2.5-flash-lite,same_definition,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.04695547309672016,,,,,,gemini-2.5-flash-lite,same_elimination,100,family,gemini-2.5-flash-lite,same_elimination,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.15142546676763574,,,,,,gpt-4o-mini,mixed_strategy,100,family,gpt-4o-mini,mixed_strategy,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.06231789696351209,,,,,,gpt-4o-mini,same_definition,100,family,gpt-4o-mini,same_definition,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.09042933501628231,,,,,,gpt-4o-mini,same_elimination,100,family,gpt-4o-mini,same_elimination,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.20686284579767972,,,,,,qwen2.5-7b-instruct,mixed_strategy,100,family,qwen2.5-7b-instruct,mixed_strategy,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.11174762146794337,,,,,,qwen2.5-7b-instruct,same_definition,100,family,qwen2.5-7b-instruct,same_definition,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.026909031374042547,,,,,,qwen2.5-7b-instruct,same_elimination,100,family,qwen2.5-7b-instruct,same_elimination,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.3310465689192657,,,,,,qwen3.5-plus,mixed_strategy,100,family,qwen3.5-plus,mixed_strategy,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.13948098893285749,,,,,,qwen3.5-plus,same_definition,100,family,qwen3.5-plus,same_definition,within_team
same_model_same_prompt,same_model_same_prompt_family,,,0.11276921360052533,,,,,,qwen3.5-plus,same_elimination,100,family,qwen3.5-plus,same_elimination,within_team
